id,name,email,phone,affiliation
1,Laura Cardoso,laura.cardoso@gmail.com,917452183,ISA Agronomy Student
2,Tiago Azevedo,tiago.azevedo@outlook.com,916384720,ISA Research Assistant
3,Marina Duarte,marina.duarte@yahoo.com,918271649,ISA Lab Support
4,André Pimentel,andre.pimentel@proton.me,915628374,Vineyard Technician
5,Beatriz Ramos,beatriz.ramos@outlook.com,913472815,AgroEnvironmental Analyst
6,Rafael Cunha,rafael.cunha@gmail.com,919283746,Parcel Manager
7,Ingrid Nascimento,ingrid.nasc@yahoo.com,912948501,Soil Data Collector
8,Daniel Sousa,daniel.sousa@outlook.com,918374296,Agro Consultant
9,Sofia Mendonça,sofia.mendonca@gmail.com,915283940,Climate Specialist
10,Lucas Faria,lfaria@hotmail.com,919384715,Field Sensor Operator
11,Carolina Peixoto,carol.peixoto@gmail.com,916472038,Satellite Data Assistant
12,Felipe Antunes,felipe.antunes@yahoo.com,913849275,Database Student
13,Íris Tomás,iris.tomas@gmail.com,917583026,Dashboard Developer
14,Henrique Lobo,henrique.lobo@outlook.com,919274850,Phenology Field Scout
15,Juliana Viegas,juliana.viegas@hotmail.com,912647380,Sustainability Assistant
16,Miguel Arcanjo,miguel.arcanjo@gmail.com,916293847,Vine Water Analyst
17,Aline Pires,aline.pires@yahoo.com,917392641,Agro Research Intern
18,Vasco Teixeira,vasco.teixeira@gmail.com,915374920,Data Standards Support
19,Elisa Noronha,elisa.noronha@hotmail.com,918475203,GIS Assistant
20,Nuno Barreiros,nuno.barreiros@outlook.com,916592830,Vineyard Operations Support
